"severity","dimension","code","name","stage","detail"
"debt","deepVerification.notApproved","1992","神田通信機","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1994","高橋カーテンウォール工業","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1997","暁飯島工業","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2001","ニップン","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2002","日清製粉グループ本社","core","status=not_started, stars=3"
"debt","deepVerification.notApproved","2003","日東富士製粉","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2004","昭和産業","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2009","鳥越製粉","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2053","中部飼料","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2055","日和産業","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","205A","ロゴスホールディングス","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2060","フィード・ワン","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","206A","ＰＲＩＳＭ ＢｉｏＬａｂ","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","208A","構造計画研究所ホールディングス","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2108","日本甜菜製糖","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2109","ＤＭ三井製糖","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2112","塩水港精糖","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2114","フジ日本","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2117","ウェルネオシュガー","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","211A","カドス・コーポレーション","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2120","ＬＩＦＵＬＬ","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2121","ＭＩＸＩ","core","status=not_started, stars=3"
"debt","deepVerification.notApproved","2122","インタースペース","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2124","ジェイエイシーリクルートメント","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2127","日本Ｍ＆Ａセンターホールディングス","core","status=not_started, stars=3"
"debt","deepVerification.notApproved","212A","フィットイージー","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2130","メンバーズ","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2134","北浜キャピタルパートナーズ","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2136","ヒップ","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2138","クルーズ","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2139","中広","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2146","ＵＴグループ","core","status=not_started, stars=3"
"debt","deepVerification.notApproved","2148","アイティメディア","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2152","幼児活動研究会","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2153","Ｅ・Ｊホールディングス","core","status=not_started, stars=3"
"debt","deepVerification.notApproved","2154","オープンアップグループ","core","status=not_started, stars=3"
"debt","deepVerification.notApproved","2156","セーラー広告","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2157","コシダカホールディングス","core","status=not_started, stars=3"
"debt","deepVerification.notApproved","2158","ＦＲＯＮＴＥＯ","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","215A","タイミー","core","status=not_started, stars=3"
"debt","deepVerification.notApproved","2160","ジーエヌアイグループ","core","status=not_started, stars=3"
"debt","deepVerification.notApproved","2162","ｎｍｓ ホールディングス","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2163","アルトナー","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2164","地域新聞社","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2168","パソナグループ","core","status=not_started, stars=3"
"debt","deepVerification.notApproved","2169","ＣＤＳ","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2170","リンクアンドモチベーション","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2173","博展","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2175","エス・エム・エス","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2179","成学社","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2180","サニーサイドアップグループ","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2181","パーソルホールディングス","core","status=not_started, stars=3"
"debt","deepVerification.notApproved","2183","リニカル","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2185","シイエム・シイ","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2186","ソーバル","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","218A","Ｌｉｂｅｒａｗａｒｅ","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2193","クックパッド","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2195","アミタホールディングス","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2198","アイ・ケイ・ケイホールディングス","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","219A","Ｈｅａｒｔｓｅｅｄ","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2201","森永製菓","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2204","中村屋","core","status=not_started, stars=2"
