"code","name","market","industry","stage","deepVerified","provisionalCandidate","templateLike","formalPlan","financialStatementSource","administrativeDocument","pageEvidence","genericMetricFields","specificMetricFields","progressConnected","withinThreeYears","phaseScore","document","planPublishedDate","sourceUrl","templatePatternIds"
"8617","光世証券","Standard","証券、商品先物取引業","core","false","false","true","false","true","false","3","4","0","true","true","23","2026年3月期 決算短信〔日本基準〕(非連結)","2026-04-24","https://www2.jpx.co.jp/disc/86170/140120260423509245.pdf","generic_metric_confirmation|refer_to_original_for_definition|generic_period|generic_topics_statement|generic_primary_evidence_count|generic_jpx_summary"
"8622","水戸証券","Prime","証券、商品先物取引業","core","false","true","true","true","false","false","5","4","0","true","true","105","第七次中期経営計画の策定に関するお知らせ","2025-04-28","https://www2.jpx.co.jp/disc/86220/140120250428525831.pdf","generic_metric_confirmation|refer_to_original_for_definition|generic_period|generic_topics_statement|automatic_extraction_not_comparable|generic_primary_evidence_count|generic_jpx_summary"
"8624","いちよし証券","Prime","証券、商品先物取引業","core","false","false","true","false","false","false","2","3","0","true","true","50","資本コストや株価を意識した経営の実現に向けた対応について","2024-01-18","https://www2.jpx.co.jp/disc/86240/140120240118516607.pdf","generic_metric_confirmation|refer_to_original_for_definition|generic_period|generic_topics_statement|generic_page_evidence|automatic_extraction_not_comparable|generic_primary_evidence_count|generic_jpx_summary"
"8628","松井証券","Prime","証券、商品先物取引業","core","false","false","true","false","false","false","5","5","0","true","true","72","統合報告書2025","2025-09-30","https://www2.jpx.co.jp/disc/86280/140120250911556175.pdf","generic_metric_confirmation|refer_to_original_for_definition|generic_period|generic_topics_statement|automatic_extraction_not_comparable|generic_primary_evidence_count|generic_jpx_summary"
"8630","SOMPOホールディングス","Prime","保険業","core","false","false","false","true","false","false","0","0","5","true","true","149","中期経営計画2024-2026/2026年5月IRミーティング","2024-05-28","https://www.sompo-hd.com/-/media/hd/files/doc/pdf/ir/2026/20260522_1.pdf?la=ja-JP",""
"8697","日本取引所グループ","Prime","その他金融業","core","false","true","true","true","false","false","3","5","0","true","true","103","中期経営計画2027 2026年度アップデート","2026-04-28","https://www2.jpx.co.jp/disc/86970/140120260427511494.pdf","generic_metric_confirmation|refer_to_original_for_definition|generic_period|generic_topics_statement|automatic_extraction_not_comparable|generic_primary_evidence_count|generic_jpx_summary"
"8698","マネックスグループ","Prime","証券、商品先物取引業","core","false","false","true","false","true","false","4","5","0","true","true","27","2026年3月期 決算説明資料","2026-05-12","https://www2.jpx.co.jp/disc/86980/140120260512525526.pdf","generic_metric_confirmation|refer_to_original_for_definition|generic_period|generic_topics_statement|automatic_extraction_not_comparable|generic_primary_evidence_count|generic_jpx_summary"
"8699","HSホールディングス","Standard","証券、商品先物取引業","core","false","false","true","false","true","false","5","5","0","true","true","31","2026年3月期決算短信〔日本基準〕(連結)","2026-04-30","https://www2.jpx.co.jp/disc/86990/140120260430515106.pdf","generic_metric_confirmation|refer_to_original_for_definition|generic_period|generic_topics_statement|automatic_extraction_not_comparable|generic_primary_evidence_count|generic_jpx_summary"
"8700","丸八証券","Standard","証券、商品先物取引業","core","false","true","true","true","false","false","3","1","0","true","true","100","中期経営計画の策定に関するお知らせ","2025-10-30","https://www2.jpx.co.jp/disc/87000/140120251029581534.pdf","generic_metric_confirmation|refer_to_original_for_definition|generic_period|generic_topics_statement|generic_page_evidence|automatic_extraction_not_comparable|generic_primary_evidence_count|generic_jpx_summary"
"8704","トレイダーズホールディングス","Standard","証券、商品先物取引業","core","false","false","false","false","true","false","0","0","4","true","true","76","2026年3月期決算説明資料","2026-06-09","https://ssl4.eir-parts.net/doc/8704/tdnet/2797721/00.pdf",""
"8705","日産証券グループ","Standard","証券、商品先物取引業","core","false","false","true","false","false","false","5","4","0","true","true","77","資本コストや株価を意識した経営の実現に向けた対応について","2026-06-17","https://www2.jpx.co.jp/disc/87050/140120260615570322.pdf","generic_metric_confirmation|refer_to_original_for_definition|generic_period|generic_topics_statement|generic_page_evidence|automatic_extraction_not_comparable|generic_primary_evidence_count|generic_jpx_summary"
"8706","極東証券","Prime","証券、商品先物取引業","core","false","false","true","false","true","false","5","4","0","true","true","31","2026年3月期 決算短信〔日本基準〕(連結)","2026-04-24","https://www2.jpx.co.jp/disc/87060/140120260422508161.pdf","generic_metric_confirmation|refer_to_original_for_definition|generic_period|generic_topics_statement|automatic_extraction_not_comparable|generic_primary_evidence_count|generic_jpx_summary"
"8707","岩井コスモホールディングス","Prime","証券、商品先物取引業","core","false","true","true","true","false","false","3","4","0","true","true","97","第6次中期経営計画(2026年3月期~2028年3月期)策定のお知らせ","2025-04-25","https://www2.jpx.co.jp/disc/87070/140120250425523577.pdf","generic_metric_confirmation|refer_to_original_for_definition|generic_period|generic_topics_statement|automatic_extraction_not_comparable|generic_primary_evidence_count|generic_jpx_summary"
